;prod_nome;preco_original;preco_com_desconto;prod_busca
0;Frango a Passarinho Congelado SADIA 1kg;16.79;;sadia
1;Filezinho Sassami de Frango Congelado SADIA 1kg;23.49;;sadia
2;Coxinha da Asa de Frango Congelado SADIA Pacote 1kg;22.29;;sadia
3;Frango Congelado SADIA 3kg;38.97;;sadia
4;Peru Temperado Congelado SADIA 3,6kg;107.64;;sadia
5;Filé de Peito de Frango Zip SADIA Pacote 1kg;24.99;;sadia
6;Sobrecoxa de Frango Congelada SADIA Bandeja 1kg;20.29;;sadia
7;Frango em Tiras Congelado SADIA 400g;15.29;;sadia
8;Filé de Peito de Frango Congelado SADIA Bandeja 1kg;25.99;;sadia
9;Pernil Suíno Temperado ao Vinho Espumante Congelado SADIA 2,7kg;96.93;;sadia
10;Sobrecoxa de Frango Congelada SADIA Fácil Pacote 800g;18.29;;sadia
11;Iscas de Frango Tradicional SADIA Caixa 300g;19.99;;sadia
12;Frangos em Tiras Temperados SADIA 400g;15.29;;sadia
13;Coxa de Frango Congelada SADIA Fácil Pacote 800g;17.29;;sadia
14;Filé de peito Congelado SADIA 1kg;29.79;;sadia
15;Coração de Frango Congelado SADIA 1kg;28.99;;sadia
16;Coxa de Frango Congelada SADIA Zip Pacote 1kg;18.99;;sadia
17;Sobrecoxa de Frango Congelada SADIA 1kg;21.79;;sadia
18;Filezinho de Frango Sassami Congelado SADIA Bio 1kg;30.49;;sadia
19;Filé de Peito de Frango Resfriado Temperado SADIA Fácil Pacote 700g;24.99;;sadia
20;Coxa e Sobrecoxa de Frango Desossados SADIA Congelado 1kg;24.99;;sadia
21;Frango a Passarinho Congelado Temperado SADIA 1kg;20.29;;sadia
22;Coxinha da Asa Congelada Bio SADIA 1kg;23.49;;sadia
23;Sobrecoxa de Frango Temperado Legumes SADIA 1,1kg;21.99;;sadia
24;Salaminho SADIA 220g;25.44;;sadia
25;Frango Temperado Congelado Inteiro SADIA Fácil 1,5Kg;38.94;;sadia
26;Coxa e Sobrecoxa Congelada Desossada Bio SADIA 1kg;27.29;;sadia
27;Bacon Inteiro SADIA Bandeja 300g;11.67;;sadia
28;Peru Temperado Sabor Manteiga e Ervas Congelado SADIA 3,8kg;120.44;;sadia
29;Coxa e Sobrecoxa a Passarinho de Frango Congelada SADIA 1kg;15.41;;sadia
30;Meio da Asa de Frango Congelado Aperitivo SADIA Pacote 1kg;29.99;;sadia
31;Lombo Suíno Temperado SADIA Congelado Pacote 1,3Kg;45.37;;sadia
32;Alcatra Suína Temperada Sadia 600g;17.74;;sadia
33;Nuggets de Frango Tradicional SADIA 700g;29.87;;sadia
34;Copa Lombo Suíno Temperado Sadia 1,8 kg;37.62;;sadia
35;Filé Mignon Suíno Congelado SADIA 1kg;21.9;;sadia
36;Pernil Recheado com Purê de Maçã Sadia 1,3 kg;49.27;;sadia
37;Yakisoba SADIA Caixa 600g;24.99;;sadia
38;Pernil sem Osso Temperado SADIA 3kg;107.7;;sadia
39;Tender Semi Osso Médio SADIA 2,7kg;175.45;;sadia
40;Costela Tira Suína Congelada Sadia 1kg;26.39;;sadia
41;Almôndega Vegetal Sadia Veg & Tal Bandeja 300g 12 Unidades;24.49;;sadia
42;Bisteca Suína Fatiada Congelada Sadia 600g;12.59;;sadia
43;Salamitos Pocket SADIA Pacote 36g;4.49;;sadia
44;Queijo Mussarela Fatiada SADIA Soltíssimo Bandeja 200g;-1.0;;sadia
45;Presunto Cozido Fatiado Sadia Soltíssimo 200g;9.99;;sadia
46;Filé de Frango à Parmegiana SADIA Caixa 500g;26.99;;sadia
47;Linguiça Toscana SADIA 950g;31.99;;sadia
48;Brócolis Congelado Sadia Veg & Tal Pacote 300g;6.39;;sadia
49;Ervilha Congelada Sadia Veg & Tal Pacote 300g;7.19;;sadia
50;Arroz Integral Sadia 100g;9.99;;sadia
51;Feijão Carioca Sadia 100g;9.79;;sadia
52;Frango Vegetal em Tiras Sadia Veg & Tal Pacote 300g;25.49;;sadia
53;Frango Vegetal Desfiado Sadia Veg & Tal Pacote 300g;25.49;;sadia
54;Salame Italiano Fatiado SADIA 100g;19.99;14.99;sadia
55;Frango Vegetal em Cubos Sadia Veg & Tal Pacote 300g;24.99;;sadia
56;Salame Hamburguês Fatiado SADIA 100g;19.99;15.99;sadia
